firstname, lastname, email, gpa
Miranda,Rigo,Miranda.Rigo@ucdavis.edu,3.3
Lucienne,Rigdon,Lucienne.Rigdon@ucdavis.edu,3.6
Nubia,Wigfall,Nubia.Wigfall@ucdavis.edu,3.8
Harris,Rozman,Harris.Rozman@ucdavis.net,3.7
Earleen,Spagnoli,Earleen.Spagnoli@ucdavis.edu,3.8
Celestine,Mincks,Celestine.Mincks@gmail.com,3.9
Indira,Kitamura,Indira.Kitamura@gmail.com,3.5
Sarah,Macpherson,Sarah.Macpherson@ucdavis.edu,3.7
Teddy,Portier,Teddy.Portier@ucdavis.edu,3.7
Lena,Steffens,Lena.Steffens@ucdavis.edu,3.9
Jon,Sorkin,Jon.Sorkin@ucdavis.edu,3.9
